epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3573,1.53223,3.10141,1.12981,0.03376,0.95315,0.35518,0.21699,1.25062,3.00699,0.95445,0.00035007,0.00035007,0.00035007
2,24.1706,1.32837,1.6155,0.99005,0.79813,0.224,0.59161,0.35017,1.36335,2.46657,1.03356,0.000710896,0.000710896,0.000710896
3,35.9357,1.30625,1.17481,0.97943,0.82114,0.7559,0.84977,0.56078,1.20375,1.28637,0.99382,0.00106567,0.00106567,0.00106567
4,47.8177,1.29182,1.06913,0.9922,0.83063,0.81806,0.88541,0.57387,1.20775,0.97778,0.98972,0.0014144,0.0014144,0.0014144
5,59.4165,1.26733,0.95953,0.98597,0.82513,0.79222,0.84769,0.55169,1.16979,1.08637,0.98696,0.00161199,0.00161199,0.00161199
6,71.2951,1.1848,0.91031,0.9542,0.88792,0.8394,0.93381,0.62883,1.13542,0.84802,0.97605,0.00159824,0.00159824,0.00159824
7,82.9673,1.21307,0.90441,0.96371,0.87762,0.81294,0.89402,0.61567,1.11074,0.88224,0.96075,0.00158448,0.00158448,0.00158448
8,94.7999,1.14244,0.82802,0.95116,0.91349,0.84825,0.92113,0.59683,1.17243,0.79277,0.97644,0.00157073,0.00157073,0.00157073
9,106.504,1.14193,0.81233,0.94121,0.83312,0.85902,0.87547,0.59775,1.14377,0.89237,0.96756,0.00155698,0.00155698,0.00155698
10,118.25,1.14445,0.78975,0.9559,0.90068,0.85998,0.9321,0.64247,1.08251,0.75522,0.95513,0.00154323,0.00154323,0.00154323
11,130.008,1.14223,0.82498,0.95514,0.89216,0.88355,0.93825,0.6171,1.15659,0.77283,0.95025,0.00152947,0.00152947,0.00152947
12,141.714,1.12345,0.77395,0.95485,0.90346,0.87136,0.9284,0.63576,1.09315,0.75754,0.94807,0.00151572,0.00151572,0.00151572
13,153.659,1.12166,0.77099,0.94375,0.86408,0.86805,0.91223,0.60284,1.14169,0.79314,0.96335,0.00150197,0.00150197,0.00150197
14,165.687,1.13054,0.7624,0.94103,0.91529,0.89158,0.93688,0.60917,1.16591,0.71827,0.96587,0.00148821,0.00148821,0.00148821
15,177.497,1.09712,0.77013,0.94298,0.95567,0.90179,0.94835,0.64605,1.09985,0.69403,0.95451,0.00147446,0.00147446,0.00147446
16,189.44,1.11672,0.73413,0.93037,0.90704,0.8829,0.93518,0.64624,1.10335,0.72127,0.95307,0.00146071,0.00146071,0.00146071
17,201.12,1.12306,0.73616,0.94104,0.91753,0.88583,0.94077,0.65146,1.09704,0.75261,0.94575,0.00144696,0.00144696,0.00144696
18,212.973,1.08687,0.70352,0.92757,0.93456,0.85101,0.95408,0.66817,1.06434,0.68405,0.9425,0.0014332,0.0014332,0.0014332
19,225.649,1.08829,0.69425,0.93045,0.94908,0.89989,0.97112,0.67911,1.06672,0.66519,0.92944,0.00141945,0.00141945,0.00141945
20,237.876,1.09203,0.69821,0.93077,0.95408,0.90921,0.96353,0.67811,1.07173,0.66669,0.93854,0.0014057,0.0014057,0.0014057
21,249.955,1.11433,0.84913,0.94357,0.91206,0.91101,0.94825,0.65863,1.06601,0.67207,0.94237,0.00139195,0.00139195,0.00139195
22,262.076,1.05021,0.67648,0.92335,0.91741,0.92402,0.95559,0.68095,1.03091,0.63074,0.93611,0.00137819,0.00137819,0.00137819
23,274.345,1.03067,0.65876,0.93286,0.92776,0.91971,0.9655,0.66197,1.11077,0.65581,0.94975,0.00136444,0.00136444,0.00136444
24,286.508,1.0842,0.69973,0.92537,0.94428,0.90017,0.9598,0.67398,1.06463,0.62592,0.93671,0.00135069,0.00135069,0.00135069
25,299.047,1.10375,0.77679,0.93427,0.92297,0.89567,0.9525,0.67428,1.0532,0.6428,0.94442,0.00133693,0.00133693,0.00133693
26,311.1,1.06831,0.66107,0.93301,0.93476,0.90832,0.95855,0.66707,1.07661,0.63856,0.94783,0.00132318,0.00132318,0.00132318
